W, 0, 0, 0, 1, 1
POV, 0, 0, 0, 1, 1
G2, -950, -500, 355, 1, 1.2
G2, 0, 0, 0, 1, 1
G2, 460, 1200, 0, 1, 1
G2, 205, -1000, 0, 1, 1
G2, -50, 90, 0, 1, 1
PU, 0, 0, 0, 1, 1
PU, -260, 0, 0, 1, 1
B, 0, 0, 0, 1, 1
B, 130, 1200, 0, 1, 1
B, -45, 1000, 0, 1, 1
POV, 1245, -700, 0, 1, 1
POV, 1050, -800, 0, 1.06, 1
POV, 1100, -650, 0, 1, 1
POV, -45, -630, 0, 1, 1
PD, 0, 0, 0, 1, 1
PD, 0, 0, 0, 1, 1
G, 0, 0, 0, 1, 1
G, -260, 970, 0, 1, 1
G, -115, 360, 0, 1, 1
W, -1885, -1940, 0, 1, 1
W, -1780, -1630, 0, 1, 1
G2, -2600, 750, 345, 0.9, 1.1
G2, -2300, 775, 345, 0.9, 1
G2, -1250, 500, 0, 0.9, 0.85
G2, -2205, -300, 0, 1, 1
PU, -2120, 20, 0, 1, 1
B, -1900, -50, 0, 1, 1
POV, 0, -2280, 0, 1, 1
POV, 70, -2000, 0, 1, 1
PD, -1445, 85, 0, 1, 1
G, -2530, 330, 0, 1, 1
